List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,DOB,Age,Specialism,Batting sytle,Player description,Previous IPLTeam(s),Team 2024,Total IPL played,C/U/A,Price Rs Lakh
1,1,M1,Jos,Buttler,England,08-09-1990,34,WICKETKEEPER,RHB,RIGHT ARM Off Spin,"MI,RR",RR,11,Capped,200
2,1,M1,Shreyas,Iyer,India,06-12-1994,30,BATTER,RHB,RIGHT ARM Off Spin,"DC,KKR",KKR,15,Capped,200
3,1,M1,Rishabh,Pant,India,04-10-1997,27,BATTER,LHB,RIGHT ARM Off Spin,DC,DC,13,Capped,200
4,1,M1,Kagiso,Rabada,South Africa,25-05-1995,29,BOWLER,RHB,RIGHT ARM Fast,"DC,PBKS",PBKS,11,Capped,200
5,1,M1,Arshdeep,Singh,India,05-02-1999,26,BOWLER,LHB,LEFT ARM Fast Medium,PBKS,PBKS,14,Capped,200
6,1,M1,Mitchell,Starc,Australia,30-01-1990,35,BOWLER,LHB,LEFT ARM Fast,RCB.KKR,KKR,14,Capped,200
7,2,M2,Yuzvendra,Chahal,India,23-07-1990,34,BOWLER,RHB,RIGHT ARM Leg Spin,"MI,RCB,RR",RR,15,Capped,200
8,2,M2,Liam,Livingstone,England,04-08-1993,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,"RR,PBKS",PBKS,7,Capped,200
9,2,M2,David,Miller,South Africa,10-06-1989,35,BATTER,LHB,,"PBKS,RR,GT",GT,9,Capped,150
10,2,M2,KL,Rahul,India,18-04-1992,32,WICKETKEEPER,RHB,,"SRH,RCB,PBKS,LSG",LSG,14,Capped,200
11,2,M2,Mohammad,Shami,India,03-09-1990,34,BOWLER,RHB,RIGHT ARM Fast,"KKR,PBKS,GT",GT,0,Capped,200
12,2,M2,Mohammad,Siraj,India,13-03-1994,31,BOWLER,RHB,RIGHT ARM Fast,"SRH,RCB",RCB,14,Capped,200
13,3,BA1,Harry,Brook,England,22-02-1999,26,BATTER,RHB,RIGHT ARM Medium,"SRH,DC",DC,0,Capped,200
14,3,BA1,Devon,Conway,New Zealand,08-07-1991,33,BATTER,LHB,,CSK,CSK,0,Capped,200
15,3,BA1,Jake,Fraser-Mcgurk,Australia,11-04-2002,22,BATTER,RHB,,DC,DC,9,Capped,200
16,3,BA1,Aiden,Markram,South Africa,04-10-1994,30,BATTER,RHB,RIGHT ARM Off Spin,"PBKS,SRH",SRH,11,Capped,200
17,3,BA1,Devdutt,Padikkal,India,07-07-2000,24,BATTER,LHB,,"RCB,RR,LSG",LSG,7,Capped,200
18,3,BA1,Rahul,Tripathi,India,02-03-1991,34,BATTER,RHB,RIGHT ARM Medium,"RPS,RR,KKR,SRH",SRH,6,Capped,75
19,3,BA1,David,Warner,Australia,27-10-1986,38,BATTER,LHB,,"SRH,DC",DC,8,Capped,200
